country,year,average_temperature_c,average_uncertainty_c,months_observed,baseline_temperature_c,baseline_years,temperature_anomaly_c
Afghanistan,1843,13.756250000000001,2.3530833333333336,12,14.060847222222224,30,-0.3045972222222222
Afghanistan,1844,13.14875,2.2354166666666666,12,14.060847222222224,30,-0.9120972222222239
Afghanistan,1845,13.305833333333334,2.3709166666666666,12,14.060847222222224,30,-0.7550138888888895
Afghanistan,1846,14.030833333333334,2.44225,12,14.060847222222224,30,-0.030013888888889895
Afghanistan,1847,13.475583333333335,2.4578333333333333,12,14.060847222222224,30,-0.585263888888889
Afghanistan,1848,13.136250000000002,2.0295833333333335,12,14.060847222222224,30,-0.9245972222222214
Afghanistan,1849,13.444416666666667,1.995,12,14.060847222222224,30,-0.6164305555555565
Afghanistan,1850,13.326083333333335,1.9619166666666665,12,14.060847222222224,30,-0.7347638888888888
Afghanistan,1851,13.605666666666666,2.0485,12,14.060847222222224,30,-0.4551805555555575
Afghanistan,1852,13.541166666666667,2.253833333333333,12,14.060847222222224,30,-0.5196805555555564
Afghanistan,1853,13.455833333333333,2.112833333333333,12,14.060847222222224,30,-0.605013888888891
Afghanistan,1854,13.60575,2.2133333333333334,12,14.060847222222224,30,-0.45509722222222315
Afghanistan,1855,13.923833333333334,2.334916666666667,12,14.060847222222224,30,-0.1370138888888892
Afghanistan,1856,13.464666666666666,2.2431666666666668,12,14.060847222222224,30,-0.5961805555555575
Afghanistan,1857,13.074416666666666,2.2716666666666665,12,14.060847222222224,30,-0.9864305555555575
Afghanistan,1858,13.664166666666667,2.3425833333333332,12,14.060847222222224,30,-0.39668055555555704
Afghanistan,1859,13.911583333333333,2.318916666666667,12,14.060847222222224,30,-0.14926388888889086
Afghanistan,1860,13.404583333333333,2.277833333333333,12,14.060847222222224,30,-0.6562638888888905
Afghanistan,1861,13.26975,2.2740833333333335,12,14.060847222222224,30,-0.7910972222222235
Afghanistan,1862,12.935333333333332,2.313833333333333,12,14.060847222222224,30,-1.1255138888888911
Afghanistan,1863,13.639000000000001,2.3245833333333334,12,14.060847222222224,30,-0.4218472222222225
Afghanistan,1864,13.175666666666666,2.3545000000000003,12,14.060847222222224,30,-0.8851805555555572
Afghanistan,1865,13.49075,2.2314166666666666,12,14.060847222222224,30,-0.5700972222222234
Afghanistan,1866,13.417833333333334,2.2495,12,14.060847222222224,30,-0.6430138888888894
Afghanistan,1867,13.975166666666667,2.2625,12,14.060847222222224,30,-0.08568055555555709
Afghanistan,1868,13.6935,2.3640833333333333,12,14.060847222222224,30,-0.3673472222222234
Afghanistan,1869,13.778083333333333,2.30025,12,14.060847222222224,30,-0.2827638888888906
Afghanistan,1870,13.799333333333335,2.2769166666666667,12,14.060847222222224,30,-0.2615138888888886
Afghanistan,1871,13.631,2.2754166666666666,12,14.060847222222224,30,-0.4298472222222234
Afghanistan,1872,13.88275,2.3350833333333334,12,14.060847222222224,30,-0.1780972222222239
Afghanistan,1873,13.995916666666666,2.2386666666666666,12,14.060847222222224,30,-0.06493055555555749
Afghanistan,1874,13.890583333333334,2.2687500000000003,12,14.060847222222224,30,-0.17026388888888988
Afghanistan,1875,14.173333333333334,1.7606666666666666,12,14.060847222222224,30,0.11248611111111018
Afghanistan,1876,13.564916666666667,1.4327499999999997,12,14.060847222222224,30,-0.49593055555555665
Afghanistan,1877,13.71525,1.4336666666666666,12,14.060847222222224,30,-0.34559722222222433
Afghanistan,1878,13.877416666666667,1.39475,12,14.060847222222224,30,-0.18343055555555665
Afghanistan,1879,13.927999999999999,1.1909166666666666,12,14.060847222222224,30,-0.13284722222222456
Afghanistan,1880,14.199750000000002,1.3731666666666664,12,14.060847222222224,30,0.13890277777777804
Afghanistan,1881,14.270333333333333,1.0535833333333333,12,14.060847222222224,30,0.2094861111111097
Afghanistan,1882,13.434166666666668,1.0602500000000001,12,14.060847222222224,30,-0.6266805555555557
Afghanistan,1883,13.600833333333334,0.9416666666666668,12,14.060847222222224,30,-0.4600138888888896
Afghanistan,1884,13.381833333333333,0.9602499999999999,12,14.060847222222224,30,-0.6790138888888908
Afghanistan,1885,13.031583333333332,1.0395833333333333,12,14.060847222222224,30,-1.0292638888888916
Afghanistan,1886,13.200583333333334,0.9140833333333335,12,14.060847222222224,30,-0.8602638888888894
Afghanistan,1887,13.641416666666666,1.0340833333333335,12,14.060847222222224,30,-0.4194305555555573
Afghanistan,1888,14.243166666666667,0.948,12,14.060847222222224,30,0.1823194444444436
Afghanistan,1889,13.727333333333334,0.9596666666666667,12,14.060847222222224,30,-0.33351388888888955
Afghanistan,1890,13.72225,0.9908333333333333,12,14.060847222222224,30,-0.3385972222222229
Afghanistan,1891,13.237250000000001,0.8645833333333334,12,14.060847222222224,30,-0.8235972222222223
Afghanistan,1892,14.076,0.7376666666666667,12,14.060847222222224,30,0.015152777777776905
Afghanistan,1893,13.436750000000002,0.8629166666666667,12,14.060847222222224,30,-0.6240972222222219
Afghanistan,1894,13.46675,0.7335833333333334,12,14.060847222222224,30,-0.5940972222222243
Afghanistan,1895,13.98175,0.7474166666666666,12,14.060847222222224,30,-0.0790972222222237
Afghanistan,1896,14.09875,0.5723333333333334,12,14.060847222222224,30,0.037902777777777175
Afghanistan,1897,13.549750000000001,0.7876666666666666,12,14.060847222222224,30,-0.5110972222222223
Afghanistan,1898,13.461583333333335,0.7319166666666667,12,14.060847222222224,30,-0.5992638888888884
Afghanistan,1899,14.395833333333334,0.76275,12,14.060847222222224,30,0.3349861111111103
Afghanistan,1900,13.749333333333334,0.7488333333333334,12,14.060847222222224,30,-0.3115138888888893
Afghanistan,1901,13.894,0.6993333333333333,12,14.060847222222224,30,-0.16684722222222348
Afghanistan,1902,14.505833333333335,0.7260833333333333,12,14.060847222222224,30,0.4449861111111115
Afghanistan,1903,12.986416666666669,0.7323333333333334,12,14.060847222222224,30,-1.074430555555555
Afghanistan,1904,13.805750000000002,0.7136666666666667,12,14.060847222222224,30,-0.2550972222222221
Afghanistan,1905,13.385666666666665,0.8179166666666666,12,14.060847222222224,30,-0.6751805555555581
Afghanistan,1906,13.884916666666667,0.60725,12,14.060847222222224,30,-0.17593055555555637
Afghanistan,1907,13.352916666666667,0.6104166666666667,12,14.060847222222224,30,-0.7079305555555564
Afghanistan,1908,13.699166666666665,0.70325,12,14.060847222222224,30,-0.36168055555555867
Afghanistan,1909,13.925416666666669,0.5982500000000001,12,14.060847222222224,30,-0.13543055555555483
Afghanistan,1910,13.216500000000002,0.707,12,14.060847222222224,30,-0.8443472222222219
Afghanistan,1911,13.385,0.5755,12,14.060847222222224,30,-0.6758472222222238
Afghanistan,1912,13.902666666666667,0.635,12,14.060847222222224,30,-0.15818055555555688
Afghanistan,1913,13.859250000000001,0.5800833333333334,12,14.060847222222224,30,-0.20159722222222243
Afghanistan,1914,14.296833333333334,0.7569166666666667,12,14.060847222222224,30,0.23598611111111012
Afghanistan,1915,14.914583333333333,0.6870833333333334,12,14.060847222222224,30,0.8537361111111093
Afghanistan,1916,13.343000000000002,0.7169166666666666,12,14.060847222222224,30,-0.7178472222222219
Afghanistan,1917,13.916500000000001,0.7160833333333333,12,14.060847222222224,30,-0.14434722222222263
Afghanistan,1918,13.48325,0.7224166666666667,12,14.060847222222224,30,-0.5775972222222236
Afghanistan,1919,13.880916666666666,0.7666666666666666,12,14.060847222222224,30,-0.1799305555555577
Afghanistan,1920,13.036500000000002,0.8083333333333332,12,14.060847222222224,30,-1.0243472222222216
Afghanistan,1921,14.171583333333333,0.6084999999999999,12,14.060847222222224,30,0.11073611111110893
Afghanistan,1922,14.2555,0.539,12,14.060847222222224,30,0.194652777777776
Afghanistan,1923,13.338916666666668,0.50025,12,14.060847222222224,30,-0.7219305555555557
Afghanistan,1924,13.629,0.5554166666666667,12,14.060847222222224,30,-0.43184722222222405
Afghanistan,1925,13.931750000000001,0.7501666666666665,12,14.060847222222224,30,-0.12909722222222264
Afghanistan,1926,13.745333333333333,0.7206666666666667,12,14.060847222222224,30,-0.31551388888889065
Afghanistan,1927,13.844583333333333,0.5395,12,14.060847222222224,30,-0.21626388888889103
Afghanistan,1928,13.633000000000001,0.6100833333333333,12,14.060847222222224,30,-0.4278472222222227
Afghanistan,1929,13.48175,0.6054166666666667,12,14.060847222222224,30,-0.5790972222222237
Afghanistan,1930,13.330583333333335,0.6676666666666667,12,14.060847222222224,30,-0.7302638888888886
Afghanistan,1931,13.4475,0.4410833333333333,12,14.060847222222224,30,-0.6133472222222238
Afghanistan,1932,13.664666666666667,0.51425,12,14.060847222222224,30,-0.3961805555555564
Afghanistan,1933,13.882916666666667,0.48150000000000004,12,14.060847222222224,30,-0.17793055555555704
Afghanistan,1934,13.341416666666667,0.6415000000000001,12,14.060847222222224,30,-0.7194305555555562
Afghanistan,1935,13.29625,0.44049999999999995,12,14.060847222222224,30,-0.764597222222223
Afghanistan,1936,14.007416666666666,0.50575,12,14.060847222222224,30,-0.053430555555557646
Afghanistan,1937,13.571583333333335,0.4230833333333333,12,14.060847222222224,30,-0.48926388888888894
Afghanistan,1938,14.21125,0.39724999999999994,12,14.060847222222224,30,0.1504027777777761
Afghanistan,1939,14.161916666666668,0.40608333333333335,12,14.060847222222224,30,0.10106944444444466
Afghanistan,1940,14.734,0.3933333333333333,12,14.060847222222224,30,0.6731527777777764
Afghanistan,1941,15.502749999999999,0.41616666666666663,12,14.060847222222224,30,1.4419027777777753
Afghanistan,1942,14.451166666666667,0.3988333333333334,12,14.060847222222224,30,0.3903194444444438
Afghanistan,1943,13.707833333333333,0.3635833333333333,12,14.060847222222224,30,-0.3530138888888903
Afghanistan,1944,14.29175,0.4350833333333333,12,14.060847222222224,30,0.2309027777777768
Afghanistan,1945,13.86625,0.3461666666666667,12,14.060847222222224,30,-0.19459722222222275
Afghanistan,1946,14.594666666666667,0.4025,12,14.060847222222224,30,0.5338194444444433
Afghanistan,1947,15.035083333333333,0.41358333333333336,12,14.060847222222224,30,0.9742361111111091
Afghanistan,1948,14.33525,0.38408333333333333,12,14.060847222222224,30,0.27440277777777666
Afghanistan,1949,13.350083333333332,0.5214166666666666,12,14.060847222222224,30,-0.7107638888888914
Afghanistan,1950,13.0435,0.37825,12,14.060847222222224,30,-1.0173472222222237
Afghanistan,1951,13.96775,0.4019166666666667,12,14.060847222222224,30,-0.09309722222222305
Afghanistan,1952,14.175416666666669,0.35208333333333336,12,14.060847222222224,30,0.11456944444444517
Afghanistan,1953,14.65075,0.367,12,14.060847222222224,30,0.5899027777777768
Afghanistan,1954,13.691333333333333,0.44250000000000006,12,14.060847222222224,30,-0.3695138888888909
Afghanistan,1955,14.642583333333334,0.40041666666666664,12,14.060847222222224,30,0.5817361111111108
Afghanistan,1956,14.191083333333333,0.43116666666666664,12,14.060847222222224,30,0.13023611111110966
Afghanistan,1957,12.777166666666666,0.5023333333333333,12,14.060847222222224,30,-1.2836805555555575
Afghanistan,1958,14.71675,0.4705,12,14.060847222222224,30,0.6559027777777757
Afghanistan,1959,14.152583333333334,0.4369166666666667,12,14.060847222222224,30,0.09173611111111057
Afghanistan,1960,13.985416666666666,0.4418333333333333,12,14.060847222222224,30,-0.07543055555555789
Afghanistan,1961,14.064916666666667,0.39808333333333334,12,14.060847222222224,30,0.004069444444443349
Afghanistan,1962,13.768666666666666,0.4061666666666666,12,14.060847222222224,30,-0.2921805555555572
Afghanistan,1963,15.033416666666668,0.40124999999999994,12,14.060847222222224,30,0.9725694444444439
Afghanistan,1964,13.084916666666667,0.44941666666666663,12,14.060847222222224,30,-0.9759305555555571
Afghanistan,1965,14.101833333333333,0.40808333333333335,12,14.060847222222224,30,0.040986111111109835
Afghanistan,1966,14.343000000000002,0.34933333333333333,12,14.060847222222224,30,0.28215277777777814
Afghanistan,1967,13.66325,0.40399999999999997,12,14.060847222222224,30,-0.39759722222222393
Afghanistan,1968,13.762333333333332,0.4364166666666667,12,14.060847222222224,30,-0.2985138888888912
Afghanistan,1969,13.805083333333334,0.42524999999999996,12,14.060847222222224,30,-0.25576388888888957
Afghanistan,1970,14.783083333333332,0.3774166666666667,12,14.060847222222224,30,0.7222361111111084
Afghanistan,1971,14.823500000000001,0.3865,12,14.060847222222224,30,0.7626527777777774
Afghanistan,1972,12.547166666666667,0.3910833333333333,12,14.060847222222224,30,-1.5136805555555561
Afghanistan,1973,14.235500000000002,0.44575000000000004,12,14.060847222222224,30,0.1746527777777782
Afghanistan,1974,13.316749999999999,0.3626666666666667,12,14.060847222222224,30,-0.7440972222222246
Afghanistan,1975,13.548083333333333,0.4046666666666667,12,14.060847222222224,30,-0.512763888888891
Afghanistan,1976,13.708583333333335,0.43091666666666667,12,14.060847222222224,30,-0.3522638888888885
Afghanistan,1977,14.805416666666666,0.47974999999999995,12,14.060847222222224,30,0.7445694444444424
Afghanistan,1978,14.329666666666666,0.45999999999999996,12,14.060847222222224,30,0.2688194444444427
Afghanistan,1979,14.262083333333335,0.3865,12,14.060847222222224,30,0.20123611111111117
Afghanistan,1980,14.887333333333332,0.4008333333333333,12,14.060847222222224,30,0.8264861111111088
Afghanistan,1981,14.860083333333334,0.4851666666666667,12,14.060847222222224,30,0.7992361111111101
Afghanistan,1982,13.733083333333333,0.46208333333333335,12,14.060847222222224,30,-0.3277638888888905
Afghanistan,1983,14.614833333333335,0.48500000000000004,12,14.060847222222224,30,0.5539861111111115
Afghanistan,1984,14.245833333333335,0.4384166666666667,12,14.060847222222224,30,0.18498611111111174
Afghanistan,1985,14.88875,0.39608333333333334,12,14.060847222222224,30,0.8279027777777763
Afghanistan,1986,14.22316666666667,0.38033333333333336,12,14.060847222222224,30,0.1623194444444458
Afghanistan,1987,14.984,0.35933333333333334,12,14.060847222222224,30,0.9231527777777764
Afghanistan,1988,15.389000000000001,0.4390833333333333,12,14.060847222222224,30,1.3281527777777775
Afghanistan,1989,14.125750000000002,0.36683333333333334,12,14.060847222222224,30,0.0649027777777782
Afghanistan,1990,14.993333333333332,0.36241666666666666,12,14.060847222222224,30,0.9324861111111087
Afghanistan,1991,14.370750000000001,0.41100000000000003,12,14.060847222222224,30,0.3099027777777774
Afghanistan,1992,14.056083333333333,0.5016666666666666,12,14.060847222222224,30,-0.004763888888890122
Afghanistan,1993,14.439250000000001,0.53925,12,14.060847222222224,30,0.37840277777777764
Afghanistan,1994,14.754750000000001,0.3968333333333333,12,14.060847222222224,30,0.6939027777777778
Afghanistan,1995,14.859166666666667,0.43475,12,14.060847222222224,30,0.7983194444444432
Afghanistan,1996,14.426,0.37666666666666665,12,14.060847222222224,30,0.36515277777777655
Afghanistan,1997,14.904000000000002,0.5340833333333334,12,14.060847222222224,30,0.8431527777777781
Afghanistan,1998,15.1325,0.47141666666666665,12,14.060847222222224,30,1.0716527777777767
Afghanistan,1999,15.388750000000002,0.48966666666666664,12,14.060847222222224,30,1.327902777777778
Afghanistan,2000,15.497833333333334,0.5006666666666667,12,14.060847222222224,30,1.4369861111111106
Afghanistan,2001,15.778083333333333,0.5390833333333334,12,14.060847222222224,30,1.7172361111111094
Afghanistan,2002,15.537666666666668,0.44516666666666665,12,14.060847222222224,30,1.4768194444444447
Afghanistan,2003,14.915999999999999,0.4566666666666667,12,14.060847222222224,30,0.855152777777775
Afghanistan,2004,15.770916666666666,0.4825,12,14.060847222222224,30,1.7100694444444429
Afghanistan,2005,14.979999999999999,0.5284166666666666,12,14.060847222222224,30,0.919152777777775
Afghanistan,2006,15.595583333333332,0.48825,12,14.060847222222224,30,1.5347361111111084
Afghanistan,2007,15.106166666666667,0.39608333333333334,12,14.060847222222224,30,1.0453194444444431
Afghanistan,2008,15.216499999999998,0.5173333333333333,12,14.060847222222224,30,1.1556527777777745
Afghanistan,2009,15.25775,0.3461666666666667,12,14.060847222222224,30,1.196902777777776
Afghanistan,2010,15.828666666666665,0.29008333333333336,12,14.060847222222224,30,1.7678194444444415
Afghanistan,2011,15.518,0.31625,12,14.060847222222224,30,1.457152777777777
Afghanistan,2012,14.481583333333333,0.3655,12,14.060847222222224,30,0.4207361111111094
Africa,1858,23.57341666666667,1.0033333333333332,12,24.15416111111111,30,-0.5807444444444414
Africa,1859,23.722333333333335,0.9466666666666667,12,24.15416111111111,30,-0.4318277777777766
Africa,1860,23.619,0.8352499999999999,12,24.15416111111111,30,-0.5351611111111119
Africa,1861,23.405,0.9507500000000001,12,24.15416111111111,30,-0.7491611111111105
Africa,1862,23.23391666666667,0.9786666666666667,12,24.15416111111111,30,-0.9202444444444424
Africa,1863,23.555583333333335,1.1360833333333333,12,24.15416111111111,30,-0.598577777777777
Africa,1864,23.64741666666667,0.9374166666666667,12,24.15416111111111,30,-0.5067444444444433
Africa,1865,23.7705,1.032,12,24.15416111111111,30,-0.38366111111111323
Africa,1867,24.029666666666667,1.1255833333333334,12,24.15416111111111,30,-0.12449444444444424
Africa,1868,23.59783333333333,1.0291666666666666,12,24.15416111111111,30,-0.5563277777777813
Africa,1869,23.886916666666668,1.028,12,24.15416111111111,30,-0.26724444444444373
Africa,1870,23.733583333333332,1.0279166666666668,12,24.15416111111111,30,-0.4205777777777797
Africa,1871,23.631083333333333,1.0258333333333334,12,24.15416111111111,30,-0.5230777777777789
Africa,1872,23.672833333333333,1.1273333333333333,12,24.15416111111111,30,-0.48132777777777846
Africa,1873,23.845166666666668,0.9388333333333333,12,24.15416111111111,30,-0.3089944444444441
Africa,1874,23.727166666666665,0.8771666666666667,12,24.15416111111111,30,-0.42699444444444623
Africa,1875,23.369249999999997,0.7585000000000001,12,24.15416111111111,30,-0.7849111111111142
Africa,1876,23.513666666666666,0.7975,12,24.15416111111111,30,-0.640494444444446
Africa,1877,23.94475,0.8955000000000001,12,24.15416111111111,30,-0.20941111111111255
Africa,1878,24.1605,0.8209166666666667,12,24.15416111111111,30,0.00633888888888734
Africa,1879,23.53408333333333,0.8256666666666667,12,24.15416111111111,30,-0.6200777777777802
Africa,1880,23.540333333333333,0.7844166666666667,12,24.15416111111111,30,-0.6138277777777787
Africa,1881,23.927916666666665,0.7171666666666666,12,24.15416111111111,30,-0.2262444444444469
Africa,1882,23.548833333333334,0.6871666666666667,12,24.15416111111111,30,-0.6053277777777772
Africa,1883,23.57766666666667,0.719,12,24.15416111111111,30,-0.5764944444444424
Africa,1884,23.287166666666668,0.7061666666666667,12,24.15416111111111,30,-0.866994444444444
Africa,1885,23.493666666666666,0.7025,12,24.15416111111111,30,-0.6604944444444456
Africa,1886,23.46525,0.6858333333333334,12,24.15416111111111,30,-0.6889111111111106
