feature,standardised_coefficient,absolute_coefficient
time_index,0.01351935041212879,0.01351935041212879
rolling_120_temperature_c,0.019822877359336244,0.019822877359336244
month_sin,0.023294401824296762,0.023294401824296762
rolling_12_temperature_c,0.048859491604593866,0.048859491604593866
lag_12_temperature_c,0.15198287989234108,0.15198287989234108
month_cos,-0.6006179744013354,0.6006179744013354
lag_1_temperature_c,0.6916721093851096,0.6916721093851096
